Airline,Years_Active,First_Year,Last_Year,Total_Passengers,Total_Flights,Unique_Routes,Avg_Passengers_Per_Flight,Routes_Per_Million_Pax,Size_Category,Carrier_Type
WN,11,2014,2024,1553577512.0,13129766.0,4357,118.32484387002783,2.804494765369647,Mega,LCC
AA,11,2014,2024,1433652133.0,13868485.0,3530,103.37481945576609,2.4622430495836327,Mega,Legacy
DL,11,2014,2024,1419463720.0,13202675.0,3344,107.51334256126124,2.3558192808196607,Mega,Legacy
UA,11,2014,2024,1081753842.0,10914441.0,2827,99.1121617680649,2.613348703040705,Mega,Legacy
AS,11,2014,2024,316498406.0,2919834.0,1318,108.39602730840178,4.16431797132021,Mega,Hybrid
B6,11,2014,2024,300457518.0,2648779.0,1769,113.43246001270774,5.887687589830919,Mega,Hybrid
NK,11,2014,2024,267940375.0,1797071.0,1502,149.09838008626258,5.60572478111968,Mega,ULCC
F9,11,2014,2024,192108032.0,1255655.0,1456,152.99427947963414,7.579068843930481,Mega,ULCC
US,2,2014,2015,104261107.0,1146750.0,1021,90.91877654240244,9.792721652188098,Mega,Legacy
HA,11,2014,2024,87070832.0,695339.0,162,125.22069379108608,1.8605541750192531,Very Large,Hybrid
G4,11,2014,2024,44595384.0,323596.0,849,137.81191362068753,19.03784481371435,Large,ULCC
VX,5,2014,2018,31410569.0,274059.0,118,114.6124338189952,3.756697307839282,Large,Hybrid
SY,11,2014,2024,26116943.0,187133.0,433,139.56353502589067,16.579275759800833,Large,LCC
FL,1,2014,2014,6952444.0,72644.0,227,95.70568801277464,32.65038884167927,Medium,LCC
MX,4,2021,2024,5903489.0,62482.0,439,94.48303511411288,74.3628047752778,Medium,Other
3M,11,2014,2024,2300697.0,88869.0,76,25.88863383181987,33.03346768392361,Medium,Other
WP,4,2014,2017,1693444.0,42144.0,6,40.1823272589218,3.543075531284176,Medium,Other
QF,10,2014,2024,943150.0,4398.0,6,214.449749886312,6.361660393362667,Small,Other
XP,4,2021,2024,471580.0,3798.0,48,124.16535018430751,101.78548708596632,Small,Other
MW,6,2014,2019,398614.0,56629.0,6,7.039043599569125,15.052155719568304,Small,Other
OO,11,2014,2024,308217.0,18094.0,2589,17.03421023543716,8399.926026143918,Small,Other
YX,11,2014,2024,301795.0,6796.0,1698,44.4077398469688,5626.335757716331,Small,Other
OH,10,2015,2024,291169.0,5299.0,715,54.94791470088696,2455.618558294324,Small,Other
YV,11,2014,2024,205003.0,4339.0,849,47.24660059921641,4141.402808739384,Small,Other
9E,11,2014,2024,177193.0,3744.0,1075,47.32719017094017,6066.831082491973,Small,Other
MQ,11,2014,2024,164748.0,3462.0,1074,47.58752166377816,6519.0472721975375,Small,Other
XE,3,2016,2018,163796.0,8941.0,22,18.31965104574432,134.31341424699016,Small,Other
EV,9,2014,2022,144193.0,12283.0,1951,11.73923308637955,13530.476514116495,Small,Other
9X,9,2016,2024,114675.0,20228.0,8,5.669122009096302,69.76237192064531,Small,Other
OZ,2,2019,2020,100822.0,372.0,1,271.0268817204301,9.918470175160184,Small,Other
LH,11,2014,2024,82563.0,302.0,91,273.387417218543,1102.1886317115416,Small,Other
9K,11,2014,2024,77794.0,14052.0,4,5.536151437517791,51.41784713474047,Small,Other
QX,11,2014,2024,53321.0,988.0,233,53.96862348178138,4369.760507117271,Small,Other
EI,9,2014,2023,51836.0,601.0,112,86.2495840266223,2160.660544795123,Small,Other
S5,3,2014,2016,46906.0,955.0,500,49.11623036649215,10659.617106553533,Small,Other
CP,7,2014,2020,44819.0,783.0,354,57.240102171136655,7898.435931189898,Small,Other
G7,11,2014,2024,43387.0,1345.0,659,32.257992565055766,15188.881462189134,Small,Other
19Q,6,2014,2019,37849.0,2196.0,59,17.235428051001822,1558.8258606568204,Small,Other
PR,10,2014,2024,37788.0,156.0,16,242.23076923076923,423.41484069016616,Small,Other
BA,10,2014,2024,36340.0,154.0,77,235.974025974026,2118.877270225647,Small,Other
7Y,7,2016,2022,35500.0,1187.0,24,29.907329401853413,676.0563380281691,Small,Other
LF,7,2018,2024,32737.0,1937.0,35,16.900877645844087,1069.126676237896,Small,Other
AX,7,2014,2020,29066.0,732.0,329,39.70765027322405,11319.066951076858,Small,Other
AF,11,2014,2024,27785.0,108.0,51,257.26851851851853,1835.522764081339,Small,Other
AC,11,2014,2024,26544.0,240.0,107,110.6,4031.042796865581,Small,Other
PT,10,2015,2024,26496.0,718.0,203,36.9025069637883,7661.533816425122,Small,Other
TB,4,2014,2017,26193.0,157.0,2,166.8343949044586,76.35627839499102,Small,Other
28Q,3,2015,2017,24911.0,4311.0,10,5.778473672001856,401.429087551684,Small,Other
RV,10,2014,2024,24569.0,163.0,68,150.73006134969324,2767.7154137327525,Small,Other
AM,11,2014,2024,24490.0,190.0,54,128.89473684210526,2204.981625153124,Small,Other
ZW,11,2014,2024,23676.0,711.0,315,33.29957805907173,13304.612265585403,Small,Other
C5,11,2014,2024,23520.0,775.0,279,30.348387096774196,11862.244897959185,Small,Other
MU,3,2022,2024,22646.0,101.0,2,224.21782178217825,88.31581736288969,Small,Other
VS,10,2014,2024,22038.0,89.0,44,247.61797752808988,1996.5514111988384,Small,Other
WG,7,2014,2020,21097.0,329.0,7,64.12462006079028,331.8007299616059,Small,Other
7H,2,2023,2024,15847.0,203.0,6,78.06403940886699,378.6205590963589,Small,Other
TJ,5,2015,2023,12901.0,3566.0,14,3.617779024116657,1085.1871947911015,Small,Other
CI,2,2014,2015,11869.0,53.0,1,223.9433962264151,84.25309630128908,Small,Other
UI,3,2014,2016,11094.0,912.0,2,12.164473684210526,180.27762754642148,Small,Other
1X,1,2016,2016,9830.0,101.0,2,97.32673267326732,203.4587995930824,Small,Other
N8,3,2016,2018,9485.0,82.0,14,115.67073170731707,1476.0147601476017,Small,Other
TP,10,2014,2024,8659.0,43.0,17,201.3720930232558,1963.275204989029,Small,Other
CX,8,2014,2024,8435.0,34.0,18,248.08823529411765,2133.965619442798,Small,Other
TK,6,2019,2024,8213.0,44.0,22,186.6590909090909,2678.6801412394984,Small,Other
KL,7,2014,2021,7038.0,24.0,18,293.25,2557.544757033248,Small,Other
K5,3,2014,2016,7012.0,2189.0,9,3.2032891731384194,1283.5139760410725,Small,Other
5D,10,2014,2024,6797.0,91.0,28,74.6923076923077,4119.46446961895,Small,Other
4Y,3,2022,2024,6042.0,26.0,17,232.3846153846154,2813.6378682555446,Small,Other
RP,1,2014,2014,5609.0,151.0,114,37.145695364238414,20324.47851666964,Small,Other
16,2,2014,2015,5569.0,128.0,80,43.5078125,14365.236128568862,Small,Other
IB,9,2014,2024,5523.0,20.0,9,276.15,1629.5491580662683,Small,Other
DY,7,2014,2020,5510.0,37.0,25,148.9189189189189,4537.205081669691,Small,Other
LP,9,2014,2024,4188.0,25.0,10,167.52,2387.7745940783198,Small,Other
JJ,4,2018,2024,4005.0,14.0,4,286.07142857142856,998.7515605493134,Small,Other
KV,5,2017,2021,3810.0,65.0,35,58.61538461538461,9186.351706036745,Small,Other
LA,8,2014,2024,3439.0,17.0,9,202.2941176470588,2617.0398371619654,Small,Other
